ColorId,StructName,RGB,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
2,Left-Cerebral-White-Matter,"[245, 245, 245]",0978fbc1d19b5a32631a977741d699a3b8118c1b,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",36.33035880327225,0.0,2035.0,2ee6c4fd54e9dcc9ad83bf29c8aaab96f643aa62,"(1.0, 1.0, 1.0)","(256, 256, 256)","(35, 79, 124, 153, 116, 69)",172065,7,"(np.float64(102.8117223142417), np.float64(132.5682561822567), np.float64(155.79859355476128))","(102.8117223142417, 132.5682561822567, 155.79859355476128)",0.5644178848064257,0.3318146241488358,49.57797840729548,149.4146875969434,147.6651617681029,105.11898020814318,164.13713778423212,165.55965692160635,171382.16666666666,84.33232193247969,0.14945047901742636,99838.31264804496,0.5825478495801,172065.0,2.0,2.0,688260.0,-3.203426503814917e-16,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,688260.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,3.6085134443562907,23968.86657367855,0.13930123252072502,24.9704165850172,172065.0,0.0,1.0,514.8484293726208,514.8484293726208,514.8484293726208,1.0,0.0026733210373636918,0.0026733210373636918,0.0026733210373636918,32208.0,1.0,0.0,1.0,72.56454802109785,72.56454802109785,72.56454802109785,1.0,3.674478832536855,4004.68290661463,0.12004462066450412,0.18718507540754947,39.99702372494831,0.24368022213075916,0.24368022213075916,0.24368022213075916,7.0,1.0,0.0,1.0,4229038164.714286,4229038164.714286,4229038164.714286,1.0,2.7142857142857144,0.3877551020408163,0.6230158730206987,0.6230158730206987,0.6230158730206987,1.6644977792004598,4.068230029349374e-05,3624826649.918367,0.0,1000000.0,0.0,0.0,0.0
4,Left-Lateral-Ventricle,"[120, 18, 134]",0978fbc1d19b5a32631a977741d699a3b8118c1b,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",36.33035880327225,0.0,2035.0,45c1a93b2375d90f8e89248a94353bed0f7cab98,"(1.0, 1.0, 1.0)","(256, 256, 256)","(71, 110, 125, 89, 54, 43)",29660,1,"(np.float64(113.07124072825354), np.float64(129.15040458530007), np.float64(143.64163857046526))","(113.07124072825354, 129.15040458530007, 143.64163857046526)",0.3463240794074078,0.2224251707386237,22.92946262081073,103.0884343919673,76.79192665899195,52.0,80.52328855678958,99.70456358662827,29570.958333333332,35.702007138349025,0.5181542015901272,8924.87276198955,0.30181209081510046,29660.0,4.0,4.0,474560.0,-3.203426503814917e-16,0.0,0.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,474560.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,2.406349649415078,11857.389480782198,0.3997771234248887,17.40826323871033,29660.0,0.0,1.0,615.2816587997303,615.2816587997303,615.2816587997303,1.0,0.0019487109002872937,0.0019487109002872937,0.0019487109002872937,2907.3076923076924,1.0,0.0,1.0,182.12343561143626,182.12343561143626,182.12343561143626,1.0,4.426437508355368,163.81104022323973,0.0535837000505942,0.09802116292338815,52.02729157551593,0.08277487685319694,0.08277487685319694,0.08277487685319694,1.0,1.0,0.0,1.0,879715600.0,879715600.0,879715600.0,1.0,1.0,1.0,1.1367310071573132e-09,1.1367310071573132e-09,1.1367310071573132e-09,-3.203426503814917e-16,3.371544167228591e-05,0.0,0.0,1000000.0,0.0,0.0,0.0
5,Left-Inf-Lat-Vent,"[196, 58, 250]",0978fbc1d19b5a32631a977741d699a3b8118c1b,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",36.33035880327225,0.0,2035.0,bb8c3349365f75ac2727f5c13a62c3bd0a7dc61f,"(1.0, 1.0, 1.0)","(256, 256, 256)","(99, 149, 147, 34, 21, 22)",1998,1,"(np.float64(116.27077077077077), np.float64(160.15665665665665), np.float64(160.08258258258257))","(116.27077077077077, 160.15665665665665, 160.08258258258257)",0.4220520145013419,0.19531307480348575,8.017954454571553,41.051805992193906,35.17101079013795,21.633307652783937,38.47076812334269,38.52272056851645,1960.9583333333333,17.325997417923695,0.47433393807045054,1597.2718432869353,0.8145363499752768,1998.0,5.0,5.0,49950.0,-3.203426503814917e-16,0.0,0.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0,49950.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,4.052386443178682,152.991991991992,0.07657256856456056,28.97234972710448,1998.0,0.0,1.0,438.72072072072075,438.72072072072075,438.72072072072075,1.0,0.003438299805511464,0.003438299805511464,0.003438299805511464,519.3076923076923,1.0,0.0,1.0,25.287213348008656,25.287213348008656,25.287213348008656,1.0,3.004321160961531,82.02418862665007,0.15015547380446084,0.2599137599137599,7.145559549141921,0.24387719520221424,0.24387719520221424,0.24387719520221424,1.0,1.0,0.0,1.0,3992004.0,3992004.0,3992004.0,1.0,1.0,1.0,2.505007510012515e-07,2.505007510012515e-07,2.505007510012515e-07,-3.203426503814917e-16,0.0005005005005005005,0.0,0.0,1000000.0,0.0,0.0,0.0
7,Left-Cerebellum-White-Matter,"[220, 248, 164]",0978fbc1d19b5a32631a977741d699a3b8118c1b,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",36.33035880327225,0.0,2035.0,8836b3a26e6da25ddd9691dc3a99ee00332e01bd,"(1.0, 1.0, 1.0)","(256, 256, 256)","(72, 159, 128, 43, 43, 39)",11655,1,"(np.float64(93.92818532818532), np.float64(183.55581295581297), np.float64(142.23440583440583))","(93.92818532818532, 183.55581295581297, 142.23440583440583)",0.9116020363735455,0.46770388918045314,18.001197250613224,38.48844892471668,41.593268686170845,49.040799340956916,47.41307836451879,52.57375771237966,11551.125,35.08614841663093,0.37298391110808815,6625.371190226232,0.5735693441310896,11655.0,7.0,7.0,571095.0,-3.203426503814917e-16,0.0,0.0,7.0,0.0,7.0,7.0,7.0,0.0,0.0,7.0,0.0,571095.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,3.4086396333139444,2368.499957099957,0.20321749953667587,33.08727856372644,11655.0,0.0,1.0,530.0271986271986,530.0271986271986,530.0271986271986,1.0,0.003266734346344493,0.003266734346344493,0.003266734346344493,2110.3846153846152,1.0,0.0,1.0,67.71857865610578,67.71857865610578,67.71857865610578,1.0,3.6105935593833696,284.6913528928728,0.12953745741930398,0.1810711810711811,32.53600026671801,0.32372386769353423,0.32372386769353423,0.32372386769353423,1.0,1.0,0.0,1.0,135839025.0,135839025.0,135839025.0,1.0,1.0,1.0,7.361654723302085e-09,7.361654723302085e-09,7.361654723302085e-09,-3.203426503814917e-16,8.58000858000858e-05,0.0,0.0,1000000.0,0.0,0.0,0.0
8,Left-Cerebellum-Cortex,"[230, 148, 34]",0978fbc1d19b5a32631a977741d699a3b8118c1b,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",36.33035880327225,0.0,2035.0,abba35c8dc2cfe7e0a0342c5bf7e7673bf3bd959,"(1.0, 1.0, 1.0)","(256, 256, 256)","(62, 156, 125, 54, 62, 56)",51320,1,"(np.float64(88.55524162120031), np.float64(192.52891660171474), np.float64(149.12928682774748))","(88.55524162120031, 192.52891660171474, 149.12928682774748)",0.8846826379737562,0.7835776842093305,42.177009826590954,53.82620086883879,58.412327466040935,66.24198064671678,59.54829972383762,68.26419266350405,51154.458333333336,47.61910537674959,0.36793787508812764,18111.953262787083,0.35406402204018544,51320.0,8.0,8.0,3284480.0,-3.203426503814917e-16,0.0,0.0,8.0,0.0,8.0,8.0,8.0,0.0,0.0,8.0,0.0,3284480.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,2.7209888542767193,17097.448986749805,0.33315372148772027,20.734849324672,51320.0,0.0,1.0,599.7467264224474,599.7467264224474,599.7467264224474,1.0,0.002196431712586314,0.002196431712586314,0.002196431712586314,5797.846153846154,1.0,0.0,1.0,152.38495895641523,152.38495895641523,152.38495895641523,1.0,4.4367558148595085,369.79957053505683,0.061747976361333,0.11297439894478084,62.66675110918906,0.17978916386901328,0.17978916386901328,0.17978916386901328,1.0,1.0,0.0,1.0,2633742400.0,2633742400.0,2633742400.0,1.0,1.0,1.0,3.796878540589239e-10,3.796878540589239e-10,3.796878540589239e-10,-3.203426503814917e-16,1.9485580670303975e-05,0.0,0.0,1000000.0,0.0,0.0,0.0
10,Left-Thalamus,"[0, 118, 14]",0978fbc1d19b5a32631a977741d699a3b8118c1b,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",36.33035880327225,0.0,2035.0,98e867cb3c2cacfcda7b2ed8dcdeca44a29e2302,"(1.0, 1.0, 1.0)","(256, 256, 256)","(97, 128, 129, 30, 27, 29)",4945,1,"(np.float64(109.01739130434783), np.float64(140.43417593528818), np.float64(141.5263902932255))","(109.01739130434783, 140.43417593528818, 141.5263902932255)",0.5715681905032206,0.42012107893931255,13.833081130077064,32.926415320558775,32.7566787083184,29.206163733020468,32.64965543462902,38.34057902536163,4906.291666666667,18.8196916245293,0.6120119532805071,2281.5314596681533,0.46502157121413557,4945.0,10.0,10.0,494500.0,-3.203426503814917e-16,0.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,494500.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,3.089987145765054,1275.1617795753286,0.25786891396872164,26.37497773792813,4945.0,0.0,1.0,561.1581395348837,561.1581395348837,561.1581395348837,1.0,0.0025103276800441856,0.0025103276800441856,0.0025103276800441856,736.9230769230769,1.0,0.0,1.0,76.00523093712319,76.00523093712319,76.00523093712319,1.0,3.768706731411875,67.63237145710065,0.08714584594600375,0.14902387804308936,23.250578877051,0.1973992838624483,0.1973992838624483,0.1973992838624483,1.0,1.0,0.0,1.0,24453025.0,24453025.0,24453025.0,1.0,1.0,1.0,4.089473592735459e-08,4.089473592735459e-08,4.089473592735459e-08,-3.203426503814917e-16,0.00020222446916076846,0.0,0.0,1000000.0,0.0,0.0,0.0
11,Left-Caudate,"[122, 186, 220]",0978fbc1d19b5a32631a977741d699a3b8118c1b,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",36.33035880327225,0.0,2035.0,6f643ad89c3d1db6121c46e12de3a1e7c90bcabe,"(1.0, 1.0, 1.0)","(256, 256, 256)","(101, 115, 134, 53, 25, 20)",2854,1,"(np.float64(131.8773651016118), np.float64(126.95970567624387), np.float64(144.54975473020323))","(131.8773651016118, 126.95970567624387, 144.54975473020323)",0.3849241199741621,0.15043988719156443,7.649191260755942,50.845499844172004,53.23532661682466,27.80287754891569,47.16990566028302,55.154328932550705,2801.5833333333335,19.571659282164305,0.40570538663761435,2368.876287175411,0.8455491075316022,2854.0,11.0,11.0,345334.0,-3.203426503814917e-16,0.0,0.0,11.0,0.0,11.0,11.0,11.0,0.0,0.0,11.0,0.0,345334.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,4.147066988552102,200.91520672740015,0.07039775989046956,31.54677510363011,2854.0,0.0,1.0,432.94954449894885,432.94954449894885,432.94954449894885,1.0,0.003946000611556978,0.003946000611556978,0.003946000611556978,764.5384615384615,1.0,0.0,1.0,34.086942594413664,34.086942594413664,34.086942594413664,1.0,2.984886804819396,141.50954793086692,0.1646885161888078,0.2678831329847448,12.17791146592948,0.2985842185026028,0.2985842185026028,0.2985842185026028,1.0,1.0,0.0,1.0,8145316.0,8145316.0,8145316.0,1.0,1.0,1.0,1.2276994532808793e-07,1.2276994532808793e-07,1.2276994532808793e-07,-3.203426503814917e-16,0.000350385423966363,0.0,0.0,1000000.0,0.0,0.0,0.0
12,Left-Putamen,"[236, 13, 176]",0978fbc1d19b5a32631a977741d699a3b8118c1b,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",36.33035880327225,0.0,2035.0,0e197fe62111ca9f791751a4bb7baa0dcbd557ff,"(1.0, 1.0, 1.0)","(256, 256, 256)","(107, 124, 143, 39, 30, 17)",3977,1,"(np.float64(126.74226804123711), np.float64(136.98491325119437), np.float64(152.6711088760372))","(126.74226804123711, 136.98491325119437, 152.6711088760372)",0.6107050505916519,0.22973510442066264,8.661680255650191,37.702902555936724,39.05124837953327,29.154759474226502,35.4400902933387,40.63249930782009,3943.5,23.02535301287546,0.5415398510198036,2228.990752862433,0.565231584344474,3977.0,12.0,12.0,572688.0,-3.203426503814917e-16,0.0,0.0,12.0,0.0,12.0,12.0,12.0,0.0,0.0,12.0,0.0,572688.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,3.3236671391977044,758.7485541865728,0.1907841473941596,26.633457947695096,3977.0,0.0,1.0,519.3796831782751,519.3796831782751,519.3796831782751,1.0,0.002592942411863783,0.002592942411863783,0.002592942411863783,734.5384615384615,1.0,0.0,1.0,71.60222385689892,71.60222385689892,71.60222385689892,1.0,3.4651266588872596,90.62878163496215,0.10982956518220463,0.18469662095510725,19.80318217591016,0.15972280885253912,0.15972280885253912,0.15972280885253912,1.0,1.0,0.0,1.0,15816529.0,15816529.0,15816529.0,1.0,1.0,1.0,6.322499709006951e-08,6.322499709006951e-08,6.322499709006951e-08,-3.203426503814917e-16,0.00025144581342720644,0.0,0.0,1000000.0,0.0,0.0,0.0
13,Left-Pallidum,"[12, 48, 255]",0978fbc1d19b5a32631a977741d699a3b8118c1b,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",36.33035880327225,0.0,2035.0,89f3d8133932c25545807b2783776cac588e07d1,"(1.0, 1.0, 1.0)","(256, 256, 256)","(110, 130, 138, 28, 20, 18)",2306,1,"(np.float64(123.97311361665221), np.float64(139.9167389418907), np.float64(147.01951431049437))","(123.97311361665221, 139.9167389418907, 147.01951431049437)",0.5867574203302535,0.34238746441539414,9.259844020120639,27.044927114756558,30.01666203960727,19.4164878389476,21.400934559032695,30.083217912982647,2281.2083333333335,15.868811666874283,0.6298531541491694,1330.520127935875,0.5832523529281083,2306.0,13.0,13.0,389714.0,-3.203426503814917e-16,0.0,0.0,13.0,0.0,13.0,13.0,13.0,0.0,0.0,13.0,0.0,389714.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,3.3898065967837665,418.29054640069387,0.18139225776265994,27.77552656857295,2306.0,0.0,1.0,513.9531656548136,513.9531656548136,513.9531656548136,1.0,0.0026776808892076138,0.0026776808892076138,0.0026776808892076138,439.0769230769231,1.0,0.0,1.0,49.43625985640058,49.43625985640058,49.43625985640058,1.0,3.4210667776973533,49.89042253805345,0.10536600463683918,0.19040629795183137,11.678512420797253,0.173583511400084,0.173583511400084,0.173583511400084,1.0,1.0,0.0,1.0,5317636.0,5317636.0,5317636.0,1.0,1.0,1.0,1.8805348842982107e-07,1.8805348842982107e-07,1.8805348842982107e-07,-3.203426503814917e-16,0.0004336513443191674,0.0,0.0,1000000.0,0.0,0.0,0.0
14,3rd-Ventricle,"[204, 182, 142]",0978fbc1d19b5a32631a977741d699a3b8118c1b,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",36.33035880327225,0.0,2035.0,f9786a0d342ac4b67ca752ae8d08a711376b9988,"(1.0, 1.0, 1.0)","(256, 256, 256)","(102, 135, 123, 32, 17, 13)",2058,1,"(np.float64(118.07142857142857), np.float64(142.64820213799806), np.float64(127.89018464528668))","(118.07142857142857, 142.64820213799806, 127.89018464528668)",0.4086605299082749,0.29454542872188105,9.233945944414181,31.34981922647036,31.400636936215164,15.231546211727817,32.14031735997639,32.155870381627054,2030.625,12.811433737618001,0.6323474319567307,1226.351173819985,0.6039279403237845,2058.0,14.0,14.0,403368.0,-3.203426503814917e-16,0.0,0.0,14.0,0.0,14.0,14.0,14.0,0.0,0.0,14.0,0.0,403368.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,3.4729334012853865,347.6530612244898,0.1689276293607822,28.78828266000277,2058.0,0.0,1.0,510.09815354713317,510.09815354713317,510.09815354713317,1.0,0.0027723157249950592,0.0027723157249950592,0.0027723157249950592,400.61538461538464,1.0,0.0,1.0,43.054638995655985,43.054638995655985,43.054638995655985,1.0,3.227320321217572,49.04568043783749,0.11803250126981418,0.1946624803767661,11.23743102432035,0.17209480869730123,0.17209480869730123,0.17209480869730123,1.0,1.0,0.0,1.0,4235364.0,4235364.0,4235364.0,1.0,1.0,1.0,2.3610721534205797e-07,2.3610721534205797e-07,2.3610721534205797e-07,-3.203426503814917e-16,0.00048590864917395527,0.0,0.0,1000000.0,0.0,0.0,0.0
