ColorId,StructName,RGB,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
2,Left-Cerebral-White-Matter,"[245, 245, 245]",90a772e8a421e8c0442ef72ec4c84fc7c4c93210,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",38.78450411558151,0.0,2035.0,6a66c12a038a1613e8207d5bc692bba91df511a2,"(1.0, 1.0, 1.0)","(256, 256, 256)","(31, 58, 127, 167, 100, 64)",194939,3,"(np.float64(110.84451546381176), np.float64(105.50123884907586), np.float64(153.83980629838052))","(110.84451546381176, 105.50123884907586, 153.83980629838052)",0.5180894570208308,0.3190455011127905,49.2161087228473,154.2604692784813,162.24980739587951,100.70253224224304,172.44709333589824,172.45869070591948,194758.83333333334,79.92072276826694,0.16558463688132588,98128.58295006887,0.5038466357113569,194939.0,2.0,2.0,779756.0,-3.203426503814917e-16,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,779756.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,3.3648190712287116,35508.02404341871,0.18214941106406984,22.98789636456412,194939.0,0.0,1.0,541.2197302745988,541.2197302745988,541.2197302745988,1.0,0.002408043026870477,0.002408043026870477,0.002408043026870477,31754.76923076923,1.0,0.0,1.0,96.19287615427857,96.19287615427857,96.19287615427857,1.0,3.8858964848938515,3458.7330767326757,0.10519973775517306,0.16289592760180993,53.008607707233196,0.2092008146760696,0.2092008146760696,0.2092008146760696,3.0,1.0,0.0,1.0,12666551411.0,12666551411.0,12666551411.0,1.0,1.6666666666666667,0.5555555555555556,0.1666666666754387,0.1666666666754387,0.1666666666754387,0.9182958340544889,1.538942951384792e-05,8444194330.888889,0.0,1000000.0,0.0,0.0,0.0
4,Left-Lateral-Ventricle,"[120, 18, 134]",90a772e8a421e8c0442ef72ec4c84fc7c4c93210,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",38.78450411558151,0.0,2035.0,e2e1da9e26ea124b5a201f7b8d7706d9027d0c62,"(1.0, 1.0, 1.0)","(256, 256, 256)","(73, 92, 126, 91, 38, 39)",19642,1,"(np.float64(116.72604622747174), np.float64(107.0840036656145), np.float64(140.7736992159658))","(116.72604622747174, 107.0840036656145, 140.7736992159658)",0.29713421538770224,0.21187736074478375,20.825699033711366,98.29128964277075,87.69264507357501,36.40054944640259,83.15046602394962,92.44457799135652,19571.208333333332,29.20570522745007,0.5089687805350528,6900.354566743602,0.35257682863612677,19642.0,4.0,4.0,314272.0,-3.203426503814917e-16,0.0,0.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,314272.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,2.687785046349962,6497.837389267896,0.3308134298578503,19.461315256148907,19642.0,0.0,1.0,596.7816922920273,596.7816922920273,596.7816922920273,1.0,0.002050757200662072,0.002050757200662072,0.002050757200662072,2245.6153846153848,1.0,0.0,1.0,137.05930638836145,137.05930638836145,137.05930638836145,1.0,4.191363469299825,151.37350287215824,0.06411635479781921,0.11432722658667062,38.01134247581724,0.09062507007725715,0.09062507007725715,0.09062507007725715,1.0,1.0,0.0,1.0,385808164.0,385808164.0,385808164.0,1.0,1.0,1.0,2.591961739824666e-09,2.591961739824666e-09,2.591961739824666e-09,-3.203426503814917e-16,5.0911312493636085e-05,0.0,0.0,1000000.0,0.0,0.0,0.0
5,Left-Inf-Lat-Vent,"[196, 58, 250]",90a772e8a421e8c0442ef72ec4c84fc7c4c93210,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",38.78450411558151,0.0,2035.0,3cf9f91cbf290e5f6e3fa02ee8ba56708f655d60,"(1.0, 1.0, 1.0)","(256, 256, 256)","(95, 125, 147, 39, 16, 21)",918,1,"(np.float64(116.75054466230937), np.float64(131.6557734204793), np.float64(159.68191721132897))","(116.75054466230937, 131.6557734204793, 159.68191721132897)",0.3448060882505496,0.120360598817038,6.0352433676822415,50.14301546352812,34.785054261852174,18.439088914585774,40.80441152620633,40.963398296528084,882.9583333333334,17.289617015065954,0.4508875759384931,987.1337387782213,1.1179845090216276,918.0,5.0,5.0,22950.0,-3.203426503814917e-16,0.0,0.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0,22950.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,4.259328174748241,52.61873638344227,0.05731888494928351,28.59668883288004,918.0,0.0,1.0,348.4531590413943,348.4531590413943,348.4531590413943,1.0,0.004436689117091727,0.004436689117091727,0.004436689117091727,321.84615384615387,1.0,0.0,1.0,14.10167330742576,14.10167330742576,14.10167330742576,1.0,2.4842819511451193,72.80692360656312,0.2103940832763492,0.3505949388302329,3.6959673899819956,0.3131714005806509,0.3131714005806509,0.3131714005806509,1.0,1.0,0.0,1.0,842724.0,842724.0,842724.0,1.0,1.0,1.0,1.1866281249851672e-06,1.1866281249851672e-06,1.1866281249851672e-06,-3.203426503814917e-16,0.0010893246187363835,0.0,0.0,1000000.0,0.0,0.0,0.0
7,Left-Cerebellum-White-Matter,"[220, 248, 164]",90a772e8a421e8c0442ef72ec4c84fc7c4c93210,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",38.78450411558151,0.0,2035.0,9e226f083cfcde787217b5684a1f4065565f2710,"(1.0, 1.0, 1.0)","(256, 256, 256)","(60, 128, 132, 54, 42, 43)",13473,1,"(np.float64(87.28805759667483), np.float64(154.3023825428635), np.float64(149.23899651154161))","(87.28805759667483, 154.3023825428635, 149.23899651154161)",0.8530546502086156,0.43664055440926525,18.7396665338717,42.91783331766962,53.75872022286245,50.80354318352215,55.47071299343465,56.90342696182718,13368.458333333334,36.61125728851633,0.36216171640372463,7521.465525337267,0.5626277419426149,13473.0,7.0,7.0,660177.0,-3.203426503814917e-16,0.0,0.0,7.0,0.0,7.0,7.0,7.0,0.0,0.0,7.0,0.0,660177.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,3.336553758722961,2854.368811697469,0.21185844367976464,31.044469017811085,13473.0,0.0,1.0,528.2586654791064,528.2586654791064,528.2586654791064,1.0,0.002990064957500079,0.002990064957500079,0.002990064957500079,2436.3846153846152,1.0,0.0,1.0,74.50010657852418,74.50010657852418,74.50010657852418,1.0,3.625305460118944,330.43289681649856,0.12781702325125335,0.18083460368029505,35.740393088038,0.29470083030489636,0.29470083030489636,0.29470083030489636,1.0,1.0,0.0,1.0,181521729.0,181521729.0,181521729.0,1.0,1.0,1.0,5.5089823433755415e-09,5.5089823433755415e-09,5.5089823433755415e-09,-3.203426503814917e-16,7.422251911229867e-05,0.0,0.0,1000000.0,0.0,0.0,0.0
8,Left-Cerebellum-Cortex,"[230, 148, 34]",90a772e8a421e8c0442ef72ec4c84fc7c4c93210,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",38.78450411558151,0.0,2035.0,1d2550b48f4d9230d4f137cb319e4f36ec4be5f7,"(1.0, 1.0, 1.0)","(256, 256, 256)","(53, 124, 132, 57, 59, 53)",53415,1,"(np.float64(80.56120939810914), np.float64(158.93801366657306), np.float64(155.74494055976785))","(80.56120939810914, 158.93801366657306, 155.74494055976785)",0.8851399327200535,0.7466982239543325,41.79951883362568,55.97913252326432,61.220911460055866,69.35416353759881,59.941638282582836,69.66347680097513,53386.25,49.549365595369146,0.3752797862601752,18270.421323413408,0.3422308426498098,53415.0,8.0,8.0,3418560.0,-3.203426503814917e-16,0.0,0.0,8.0,0.0,8.0,8.0,8.0,0.0,0.0,8.0,0.0,3418560.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,2.6679250033714657,18147.241467752505,0.3397405498034729,19.311032019569094,53415.0,0.0,1.0,600.9600861181316,600.9600861181316,600.9600861181316,1.0,0.0020696425243016767,0.0020696425243016767,0.0020696425243016767,5922.076923076923,1.0,0.0,1.0,154.9809939811113,154.9809939811113,154.9809939811113,1.0,4.444191067051314,350.32793541872496,0.05653211318804938,0.11086917388518061,56.32183094571147,0.13182602045987094,0.13182602045987094,0.13182602045987094,1.0,1.0,0.0,1.0,2853162225.0,2853162225.0,2853162225.0,1.0,1.0,1.0,3.5048830775824533e-10,3.5048830775824533e-10,3.5048830775824533e-10,-3.203426503814917e-16,1.8721332958906674e-05,0.0,0.0,1000000.0,0.0,0.0,0.0
10,Left-Thalamus,"[0, 118, 14]",90a772e8a421e8c0442ef72ec4c84fc7c4c93210,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",38.78450411558151,0.0,2035.0,47786b1b5a863bcf6c1c3830139918f9c26ee5b9,"(1.0, 1.0, 1.0)","(256, 256, 256)","(98, 105, 129, 34, 23, 27)",6752,1,"(np.float64(112.87470379146919), np.float64(116.5625), np.float64(140.94653436018956))","(112.87470379146919, 116.5625, 140.94653436018956)",0.5792282165072485,0.4903298519824704,16.107870222252345,32.85109025511302,36.359317925395686,23.706539182259394,33.24154027718932,37.603191353926334,6718.958333333333,19.028278418787767,0.713302732366821,2414.042261312587,0.35928817259311085,6752.0,10.0,10.0,675200.0,-3.203426503814917e-16,0.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,675200.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,2.6369148552434645,2408.377962085308,0.35669104888704206,21.647118424451385,6752.0,0.0,1.0,596.1409952606635,596.1409952606635,596.1409952606635,1.0,0.0021504622085752032,0.0021504622085752032,0.0021504622085752032,787.2307692307693,1.0,0.0,1.0,115.58566433300157,115.58566433300157,115.58566433300157,1.0,3.958880271264943,59.50515095051309,0.07231711495949837,0.11659223477943857,28.2705060243901,0.13363438579631312,0.13363438579631312,0.13363438579631312,1.0,1.0,0.0,1.0,45589504.0,45589504.0,45589504.0,1.0,1.0,1.0,2.1934873430515937e-08,2.1934873430515937e-08,2.1934873430515937e-08,-3.203426503814917e-16,0.0001481042654028436,0.0,0.0,1000000.0,0.0,0.0,0.0
11,Left-Caudate,"[122, 186, 220]",90a772e8a421e8c0442ef72ec4c84fc7c4c93210,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",38.78450411558151,0.0,2035.0,ad19de6333559fa9d347fa0c63cd0cee382c0f6d,"(1.0, 1.0, 1.0)","(256, 256, 256)","(102, 93, 134, 57, 28, 17)",3439,1,"(np.float64(137.35940680430357), np.float64(107.08781622564699), np.float64(143.17097993602792))","(137.35940680430357, 107.08781622564699, 143.17097993602792)",0.38643350757563794,0.16866734719013782,8.446457853120084,50.07761130907239,51.088159097779204,26.92582403567252,55.54277630799526,59.74110812497538,3391.4166666666665,19.351666989174277,0.45435993667314645,2402.5449819971714,0.7084192884970897,3439.0,11.0,11.0,416119.0,-3.203426503814917e-16,0.0,0.0,11.0,0.0,11.0,11.0,11.0,0.0,0.0,11.0,0.0,416119.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,3.842036699005309,361.1907531259087,0.10502784330500398,28.98377631466913,3439.0,0.0,1.0,473.5571387031114,473.5571387031114,473.5571387031114,1.0,0.0031806885277667943,0.0031806885277667943,0.0031806885277667943,782.3846153846154,1.0,0.0,1.0,48.31675344102616,48.31675344102616,48.31675344102616,1.0,3.207168461159599,119.85620689371581,0.13407858566728648,0.2275035229382423,15.289756292256662,0.22505522702493538,0.22505522702493538,0.22505522702493538,1.0,1.0,0.0,1.0,11826721.0,11826721.0,11826721.0,1.0,1.0,1.0,8.455429023818182e-08,8.455429023818182e-08,8.455429023818182e-08,-3.203426503814917e-16,0.0002907822041291073,0.0,0.0,1000000.0,0.0,0.0,0.0
12,Left-Putamen,"[236, 13, 176]",90a772e8a421e8c0442ef72ec4c84fc7c4c93210,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",38.78450411558151,0.0,2035.0,7dc5c42723153038ae767a09a86da624068dfc74,"(1.0, 1.0, 1.0)","(256, 256, 256)","(111, 104, 142, 41, 24, 20)",4201,1,"(np.float64(132.754344203761), np.float64(116.17567245893835), np.float64(153.20614139490598))","(132.754344203761, 116.17567245893835, 153.20614139490598)",0.5283768449700297,0.2969509623765293,11.168117292835564,37.60929819339855,41.97618372363071,23.259406699226016,33.54101966249684,42.30839160261236,4166.375,19.87188232096496,0.581370638021124,2153.789563401406,0.5169456814140365,4201.0,12.0,12.0,604944.0,-3.203426503814917e-16,0.0,0.0,12.0,0.0,12.0,12.0,12.0,0.0,0.0,12.0,0.0,604944.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,3.2899072899467505,839.0780766484171,0.19973293897843777,25.065354192711283,4201.0,0.0,1.0,537.7250654606046,537.7250654606046,537.7250654606046,1.0,0.0024440592497603528,0.0024440592497603528,0.0024440592497603528,704.1538461538462,1.0,0.0,1.0,69.95133787580491,69.95133787580491,69.95133787580491,1.0,3.6037836578991116,72.93691527563041,0.095762791189232,0.16761576913921597,16.47214661519909,0.13512631047383725,0.13512631047383725,0.13512631047383725,1.0,1.0,0.0,1.0,17648401.0,17648401.0,17648401.0,1.0,1.0,1.0,5.6662357116658896e-08,5.6662357116658896e-08,5.6662357116658896e-08,-3.203426503814917e-16,0.00023803856224708403,0.0,0.0,1000000.0,0.0,0.0,0.0
13,Left-Pallidum,"[12, 48, 255]",90a772e8a421e8c0442ef72ec4c84fc7c4c93210,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",38.78450411558151,0.0,2035.0,93563b7346a688861cc6d15f7e7502aceb033d5d,"(1.0, 1.0, 1.0)","(256, 256, 256)","(113, 111, 140, 27, 14, 18)",1764,1,"(np.float64(126.72845804988663), np.float64(118.5062358276644), np.float64(148.7278911564626))","(126.72845804988663, 118.5062358276644, 148.7278911564626)",0.42754021217699645,0.33689344878645616,9.131139187827369,27.103938116692937,29.546573405388315,14.866068747318506,19.313207915827967,30.133038346638727,1743.0416666666667,11.58802345324308,0.6683620026339102,1047.958823764599,0.6012241954999731,1764.0,13.0,13.0,298116.0,-3.203426503814917e-16,0.0,0.0,13.0,0.0,13.0,13.0,13.0,0.0,0.0,13.0,0.0,298116.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,3.509895650563869,281.5124716553288,0.15958756896560589,28.073906962633885,1764.0,0.0,1.0,509.18480725623584,509.18480725623584,509.18480725623584,1.0,0.0027022319827056103,0.0027022319827056103,0.0027022319827056103,343.6923076923077,1.0,0.0,1.0,43.9332659856999,43.9332659856999,43.9332659856999,1.0,3.2824718882626547,41.58398735054936,0.11356397367759671,0.1948369091226234,9.434439041073396,0.1696434733559902,0.1696434733559902,0.1696434733559902,1.0,1.0,0.0,1.0,3111696.0,3111696.0,3111696.0,1.0,1.0,1.0,3.213681542155789e-07,3.213681542155789e-07,3.213681542155789e-07,-3.203426503814917e-16,0.0005668934240362812,0.0,0.0,1000000.0,0.0,0.0,0.0
14,3rd-Ventricle,"[204, 182, 142]",90a772e8a421e8c0442ef72ec4c84fc7c4c93210,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",38.78450411558151,0.0,2035.0,41677341c44cfe4f230c4ae0f6ab738496d5123f,"(1.0, 1.0, 1.0)","(256, 256, 256)","(103, 115, 125, 35, 18, 10)",1816,1,"(np.float64(121.79900881057269), np.float64(122.85572687224669), np.float64(129.29955947136563))","(121.79900881057269, 122.85572687224669, 129.29955947136563)",0.36798271690057105,0.19911952510115022,7.12558950014366,35.78548862309686,34.058772731852805,16.76305461424021,36.138621999185304,36.193922141707716,1785.4583333333333,13.168441329141656,0.6073776429793859,1171.8134244485368,0.6563095887322322,1816.0,14.0,14.0,355936.0,-3.203426503814917e-16,0.0,0.0,14.0,0.0,14.0,14.0,14.0,0.0,0.0,14.0,0.0,355936.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,3.5636969538365695,265.3226872246696,0.14610280133517048,28.91183484057521,1816.0,0.0,1.0,490.8303964757709,490.8303964757709,490.8303964757709,1.0,0.002843309424225757,0.002843309424225757,0.002843309424225757,384.6923076923077,1.0,0.0,1.0,41.81045982322791,41.81045982322791,41.81045982322791,1.0,3.066767306357005,56.6141325049358,0.13767760547637484,0.21183497119620467,11.20129015444302,0.16395033414755789,0.16395033414755789,0.16395033414755789,1.0,1.0,0.0,1.0,3297856.0,3297856.0,3297856.0,1.0,1.0,1.0,3.0322730889402085e-07,3.0322730889402085e-07,3.0322730889402085e-07,-3.203426503814917e-16,0.0005506607929515419,0.0,0.0,1000000.0,0.0,0.0,0.0
